Id,Symbol,Name,DisplaySymbol,Exchange,Portfolio,Currency,Quantity,Cost Per Share,Cost Basis Method,Commission,Date,TimeOfDay,PurchaseFX,Type,Method,Method Execution Ids,Notes        

"1","TSLA","Tesla, Inc.",,"NMS","Stocks","USD",,,,,,,,,,,
        
"2","HLMA.L","Halma Plc Ord 10p",,"LSE","Stocks","GBp",,,,,,,,,,,
        
"3","GOOG","Alphabet Inc.",,"NMS","Stocks","USD",,,,,,,,,,,
        
"4","COUP","Coupa Software Incorporated",,"NMS","Stocks","USD",,,,,,,,,,,
        
"5","RDFN","Redfin Corporation",,"NMS","Stocks","USD",,,,,,,,,,,
        
"6","ASML","ASML Holding N.V. - New York Re",,"NMS","Stocks","USD",,,,,,,,,,,
        
"7","FB","Facebook, Inc.",,"NMS","Stocks","USD",,,,,,,,,,,
        
"8","FVRR","Fiverr International Ltd.",,"NYQ","Stocks","USD",,,,,,,,,,,
        
"9","NIO","NIO Inc.",,"NYQ","Stocks","USD",,,,,,,,,,,
        
"10","ILMN","Illumina, Inc.",,"NMS","Stocks","USD",,,,,,,,,,,
        
"11","AAPL","Apple Inc.",,"NMS","Stocks","USD",,,,,,,,,,,
        
"12","COST","Costco Wholesale Corporation",,"NMS","Stocks","USD",,,,,,,,,,,
        
"13","CRBU","Caribou Biosciences, Inc.",,"NMS","Stocks","USD",,,,,,,,,,,
        
"14","ENPH","Enphase Energy, Inc.",,"NGM","Stocks","USD",,,,,,,,,,,
        
"15","MSFT","Microsoft Corporation",,"NMS","Stocks","USD",,,,,,,,,,,
        
"16","TWTR","Twitter, Inc.",,"NYQ","Stocks","USD",,,,,,,,,,,
        
"17","NVDA","NVIDIA Corporation",,"NMS","Stocks","USD",,,,,,,,,,,
        
"18","MELI","MercadoLibre, Inc.",,"NMS","Stocks","USD",,,,,,,,,,,
        
"19","UPWK","Upwork Inc.",,"NMS","Stocks","USD",,,,,,,,,,,
        
"20","JNJ","Johnson & Johnson",,"NYQ","Stocks","USD",,,,,,,,,,,
        
"21","7741.T","Hoya Corp",,"JPX","Stocks","JPY",,,,,,,,,,,
        
